Subject	Predicate	Object	Evidence
Antz	director	Eric Darnell	| director       = {{Plainlist| * [[Eric Darnell]] * [[Tim Johnson (film director)|Tim Johnson]]}}
Antz	director	Tim Johnson (film director)|Tim Johnson	| director       = {{Plainlist| * [[Eric Darnell]] * [[Tim Johnson (film director)|Tim Johnson]]}}
Antz	producer	Brad Lewis	| producer       = {{Plainlist| * [[Brad Lewis]] * [[Aron Warner]] * Patty Wooton}}
Antz	producer	Aron Warner	| producer       = {{Plainlist| * [[Brad Lewis]] * [[Aron Warner]] * Patty Wooton}}
Antz	writer	Paul Weitz (filmmaker)|Paul Weitz	| writer         = {{Plainlist| * [[Paul Weitz (filmmaker)|Paul Weitz]] * [[Chris Weitz]] * [[Todd Alcott]]}}
Antz	writer	Chris Weitz	| writer         = {{Plainlist| * [[Paul Weitz (filmmaker)|Paul Weitz]] * [[Chris Weitz]] * [[Todd Alcott]]}}
Antz	writer	Todd Alcott	| writer         = {{Plainlist| * [[Paul Weitz (filmmaker)|Paul Weitz]] * [[Chris Weitz]] * [[Todd Alcott]]}}
Antz	starring	Woody Allen	| starring       = {{Plainlist| * [[Woody Allen]] * [[Dan Aykroyd]] * [[Anne Bancroft]] * [[Jane Curtin]] * [[Danny Glover]] * [[Gene Hackman]] * [[Jennifer Lopez]] * [[John Mahoney]] * [[Paul Mazursky]] * [[Grant Shaud]] * [[Sylvester Stallone]] * [[Sharon Stone]] * [[Christopher Walken]]}}
Antz	starring	Dan Aykroyd	| starring       = {{Plainlist| * [[Woody Allen]] * [[Dan Aykroyd]] * [[Anne Bancroft]] * [[Jane Curtin]] * [[Danny Glover]] * [[Gene Hackman]] * [[Jennifer Lopez]] * [[John Mahoney]] * [[Paul Mazursky]] * [[Grant Shaud]] * [[Sylvester Stallone]] * [[Sharon Stone]] * [[Christopher Walken]]}}
Antz	starring	Anne Bancroft	| starring       = {{Plainlist| * [[Woody Allen]] * [[Dan Aykroyd]] * [[Anne Bancroft]] * [[Jane Curtin]] * [[Danny Glover]] * [[Gene Hackman]] * [[Jennifer Lopez]] * [[John Mahoney]] * [[Paul Mazursky]] * [[Grant Shaud]] * [[Sylvester Stallone]] * [[Sharon Stone]] * [[Christopher Walken]]}}
Antz	starring	Jane Curtin	| starring       = {{Plainlist| * [[Woody Allen]] * [[Dan Aykroyd]] * [[Anne Bancroft]] * [[Jane Curtin]] * [[Danny Glover]] * [[Gene Hackman]] * [[Jennifer Lopez]] * [[John Mahoney]] * [[Paul Mazursky]] * [[Grant Shaud]] * [[Sylvester Stallone]] * [[Sharon Stone]] * [[Christopher Walken]]}}
