Subject	Predicate	Object	Evidence
Brave	director	Mark Andrews (filmmaker)|Mark Andrews	| director       = [[Mark Andrews (filmmaker)|Mark Andrews]][[Brenda Chapman]]
Brave	director	Brenda Chapman	| director       = [[Mark Andrews (filmmaker)|Mark Andrews]][[Brenda Chapman]]
Brave	producer	Katherine Sarafian	| producer       = [[Katherine Sarafian]]
Brave	starring	Kelly Macdonald	| starring       = [[Kelly Macdonald]][[Billy Connolly]][[Emma Thompson]][[Julie Walters]][[Robbie Coltrane]][[Kevin McKidd]][[Craig Ferguson]]
Brave	starring	Billy Connolly	| starring       = [[Kelly Macdonald]][[Billy Connolly]][[Emma Thompson]][[Julie Walters]][[Robbie Coltrane]][[Kevin McKidd]][[Craig Ferguson]]
Brave	starring	Emma Thompson	| starring       = [[Kelly Macdonald]][[Billy Connolly]][[Emma Thompson]][[Julie Walters]][[Robbie Coltrane]][[Kevin McKidd]][[Craig Ferguson]]
Brave	starring	Julie Walters	| starring       = [[Kelly Macdonald]][[Billy Connolly]][[Emma Thompson]][[Julie Walters]][[Robbie Coltrane]][[Kevin McKidd]][[Craig Ferguson]]
Brave	starring	Robbie Coltrane	| starring       = [[Kelly Macdonald]][[Billy Connolly]][[Emma Thompson]][[Julie Walters]][[Robbie Coltrane]][[Kevin McKidd]][[Craig Ferguson]]
Brave	starring	Kevin McKidd	| starring       = [[Kelly Macdonald]][[Billy Connolly]][[Emma Thompson]][[Julie Walters]][[Robbie Coltrane]][[Kevin McKidd]][[Craig Ferguson]]
Brave	starring	Craig Ferguson	| starring       = [[Kelly Macdonald]][[Billy Connolly]][[Emma Thompson]][[Julie Walters]][[Robbie Coltrane]][[Kevin McKidd]][[Craig Ferguson]]
Brave	music	Patrick Doyle	| music          = [[Patrick Doyle]]
Brave	cinematography	Danielle Feinberg	| cinematography = Robert Anderson (camera)[[Danielle Feinberg]] (lighting)
Brave	studio	Walt Disney Pictures	| studio         = [[Walt Disney Pictures]][[Pixar|Pixar Animation Studios]]
Brave	studio	Pixar|Pixar Animation Studios	| studio         = [[Walt Disney Pictures]][[Pixar|Pixar Animation Studios]]
Brave	released date	2012|6|10	| released       = {{Film date|2012|6|10|[[Seattle International Film Festival|SIFF]]|2012|6|22|United States}} 
Brave	run time	93 minutes	| runtime        = 93 minutes
Brave	language	English	| language       = English
Brave	budget	$185 million	| budget         = $185 million
Brave	gross	$540.4 million	| gross          = $540.4 million}}
Brave	year	2012	'''''Brave''''' is a 2012 American [[computer-animated]] [[fantasy film]] produced by [[Pixar|Pixar Animation Studios]] and released by [[Walt Disney Pictures]].
Brave	genre	computer-animated	'''''Brave''''' is a 2012 American [[computer-animated]] [[fantasy film]] produced by [[Pixar|Pixar Animation Studios]] and released by [[Walt Disney Pictures]].
Brave	genre	fantasy film	'''''Brave''''' is a 2012 American [[computer-animated]] [[fantasy film]] produced by [[Pixar|Pixar Animation Studios]] and released by [[Walt Disney Pictures]].
Brave	approvalRating	78%	===Critical response=== ''Brave'' received a 78% approval rating on the review aggregator website [[Rotten Tomatoes]] based on reviews from 244 critics, with an average rating of 7/10.
Brave	reviews	244	===Critical response=== ''Brave'' received a 78% approval rating on the review aggregator website [[Rotten Tomatoes]] based on reviews from 244 critics, with an average rating of 7/10.
